Name,Price,Rating,ROM,DISPLAY,CAMERA,PROCESSOR
"APPLE iPhone 15 (Black, 128 GB)","₹73,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 (Midnight, 128 GB)","₹59,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 (Starlight, 128 GB)","₹59,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 (Blue, 128 GB)","₹59,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 (Blue, 128 GB)","₹73,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 (Green, 128 GB)","₹73,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 (Pink, 128 GB)","₹73,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 Plus (Blue, 128 GB)","₹66,999",4.6,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Plus (Blue, 128 GB)","₹82,999",4.7,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 (Purple, 128 GB)","₹59,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 12 (Blue, 64 GB)","₹42,999",4.6,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹66,999",4.6,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
